Dzien          Rano           Polodnie       Wieczorem      
1              15000.00       14975.00       14950.00       
2              15702.50       15677.50       15652.50       
3              16369.88       16344.88       16319.88       
4              17003.88       16978.88       16953.88       
5              17606.19       17581.19       17556.19       
6              18178.38       18153.38       18128.38       
7              18721.96       18696.96       18671.96       
8              19238.36       19213.36       19188.36       
9              19728.94       19703.94       19678.94       
10             20195.00       20170.00       20145.00       
11             20637.75       20612.75       20587.75       
12             21058.36       21033.36       21008.36       
13             21457.94       21432.94       21407.94       
14             21837.54       21812.54       21787.54       
15             22198.17       22173.17       22148.17       
16             22540.76       22515.76       22490.76       
17             22866.22       22841.22       22816.22       
18             23175.41       23150.41       23125.41       
19             23469.14       23444.14       23419.14       
20             23748.18       23723.18       23698.18       
21             24013.27       23988.27       23963.27       
22             24265.11       24240.11       24215.11       
23             24504.35       24479.35       24454.35       
24             24731.64       24706.64       24681.64       
25             24947.55       24922.55       24897.55       
26             25152.68       25127.68       25102.68       
27             25347.54       25322.54       25297.54       
28             25532.67       25507.67       25482.67       
29             25708.53       25683.53       25658.53       
30             25875.61       25850.61       25825.61       
31             26034.33       26009.33       25984.33       
32             26185.11       26160.11       26135.11       
